Date,Usage (kWh),Cost ($),Hi,Low
2020-11-09 00:00:00,1.6,0.19,83,71
2020-11-09 01:00:00,1.1,0.14,83,71
2020-11-09 02:00:00,1.2,0.15,83,71
2020-11-09 03:00:00,1.0,0.13,83,71
2020-11-09 04:00:00,1.0,0.12,83,71
2020-11-09 05:00:00,1.0,0.12,83,71
2020-11-09 06:00:00,0.9,0.11,83,71
2020-11-09 07:00:00,1.5,0.19,83,71
2020-11-09 08:00:00,1.2,0.15,83,71
2020-11-09 09:00:00,1.2,0.14,83,71
2020-11-09 10:00:00,1.3,0.16,83,71
2020-11-09 11:00:00,1.2,0.15,83,71
2020-11-09 12:00:00,1.3,0.16,83,71
2020-11-09 13:00:00,1.3,0.16,83,71
2020-11-09 14:00:00,1.4,0.17,83,71
2020-11-09 15:00:00,1.4,0.17,83,71
2020-11-09 16:00:00,1.3,0.16,83,71
2020-11-09 17:00:00,1.7,0.21,83,71
2020-11-09 18:00:00,1.1,0.13,83,71
2020-11-09 19:00:00,1.2,0.14,83,71
2020-11-09 20:00:00,3.5,0.42,83,71
2020-11-09 21:00:00,2.8,0.35,83,71
2020-11-09 22:00:00,1.7,0.21,83,71
2020-11-09 23:00:00,1.3,0.16,83,71
2020-11-10 00:00:00,1.6,0.2,84,72
2020-11-10 01:00:00,1.1,0.14,84,72
2020-11-10 02:00:00,1.1,0.13,84,72
2020-11-10 03:00:00,1.1,0.14,84,72
2020-11-10 04:00:00,1.1,0.14,84,72
2020-11-10 05:00:00,1.3,0.15,84,72
2020-11-10 06:00:00,1.4,0.17,84,72
2020-11-10 07:00:00,1.4,0.18,84,72
2020-11-10 08:00:00,1.5,0.18,84,72
2020-11-10 09:00:00,2.1,0.26,84,72
2020-11-10 10:00:00,1.6,0.19,84,72
2020-11-10 11:00:00,2.0,0.24,84,72
2020-11-10 12:00:00,1.5,0.19,84,72
2020-11-10 13:00:00,1.6,0.2,84,72
2020-11-10 14:00:00,1.7,0.21,84,72
2020-11-10 15:00:00,1.6,0.2,84,72
